#,date,daily_events,in,mm
1,5/12/2005,1,0.01,0.2
2,5/13/2005,0,0,0
3,5/14/2005,0,0,0
4,5/15/2005,1,0.01,0.2
5,5/16/2005,1,0.01,0.2
6,5/17/2005,9,0.09,1.8
7,5/18/2005,171,1.71,34.2
8,5/19/2005,0,0,0
9,5/20/2005,0,0,0
10,5/21/2005,0,0,0
11,5/22/2005,0,0,0
12,5/23/2005,0,0,0
13,5/24/2005,0,0,0
14,5/25/2005,0,0,0
15,5/26/2005,0,0,0
16,5/27/2005,0,0,0
17,5/28/2005,0,0,0
18,5/29/2005,0,0,0
19,5/30/2005,0,0,0
20,5/31/2005,0,0,0
21,6/1/2005,0,0,0
22,6/2/2005,0,0,0
23,6/3/2005,0,0,0
24,6/4/2005,0,0,0
25,6/5/2005,0,0,0
26,6/6/2005,0,0,0
27,6/7/2005,0,0,0
28,6/8/2005,169,1.69,33.8
29,6/9/2005,8,0.08,1.6
30,6/10/2005,0,0,0
31,6/11/2005,0,0,0
32,6/12/2005,0,0,0
33,6/13/2005,0,0,0
34,6/14/2005,0,0,0
35,6/15/2005,0,0,0
36,6/16/2005,50,0.5,10
37,6/17/2005,3,0.03,0.6
38,6/18/2005,14,0.14,2.8
39,6/19/2005,0,0,0
40,6/20/2005,0,0,0
41,6/21/2005,0,0,0
42,6/22/2005,0,0,0
43,6/23/2005,0,0,0
44,6/24/2005,0,0,0
45,6/25/2005,0,0,0
46,6/26/2005,0,0,0
47,6/27/2005,0,0,0
48,6/28/2005,0,0,0
49,6/29/2005,0,0,0
50,6/30/2005,0,0,0
51,7/1/2005,0,0,0
52,7/2/2005,0,0,0
53,7/3/2005,0,0,0
54,7/4/2005,0,0,0
55,7/5/2005,0,0,0
56,7/6/2005,0,0,0
57,7/7/2005,0,0,0
58,7/8/2005,0,0,0
59,7/9/2005,0,0,0
60,7/10/2005,0,0,0
61,7/11/2005,0,0,0
62,7/12/2005,0,0,0
63,7/13/2005,0,0,0
64,7/14/2005,0,0,0
65,7/15/2005,0,0,0
66,7/16/2005,0,0,0
67,7/17/2005,0,0,0
68,7/18/2005,0,0,0
69,7/19/2005,0,0,0
70,7/20/2005,0,0,0
71,7/21/2005,0,0,0
72,7/22/2005,0,0,0
73,7/23/2005,0,0,0
74,7/24/2005,0,0,0
75,7/25/2005,0,0,0
76,7/26/2005,0,0,0
77,7/27/2005,0,0,0
78,7/28/2005,0,0,0
79,7/29/2005,0,0,0
80,7/30/2005,0,0,0
81,7/31/2005,0,0,0
82,8/1/2005,0,0,0
83,8/2/2005,0,0,0
84,8/3/2005,0,0,0
85,8/4/2005,0,0,0
86,8/5/2005,0,0,0
87,8/6/2005,0,0,0
88,8/7/2005,0,0,0
89,8/8/2005,0,0,0
90,8/9/2005,0,0,0
91,8/10/2005,0,0,0
92,8/11/2005,0,0,0
93,8/12/2005,0,0,0
94,8/13/2005,0,0,0
95,8/14/2005,0,0,0
96,8/15/2005,0,0,0
97,8/16/2005,0,0,0
98,8/17/2005,0,0,0
99,8/18/2005,0,0,0
100,8/19/2005,0,0,0
101,8/20/2005,0,0,0
102,8/21/2005,0,0,0
103,8/22/2005,0,0,0
104,8/23/2005,0,0,0
105,8/24/2005,0,0,0
106,8/25/2005,0,0,0
107,8/26/2005,0,0,0
108,8/27/2005,0,0,0
109,8/28/2005,0,0,0
110,8/29/2005,0,0,0
111,8/30/2005,0,0,0
112,8/31/2005,0,0,0
113,9/1/2005,0,0,0
114,9/2/2005,0,0,0
115,9/3/2005,0,0,0
116,9/4/2005,0,0,0
117,9/5/2005,0,0,0
118,9/6/2005,0,0,0
119,9/7/2005,0,0,0
120,9/8/2005,0,0,0
121,9/9/2005,0,0,0
122,9/10/2005,0,0,0
123,9/11/2005,0,0,0
124,9/12/2005,0,0,0
125,9/13/2005,0,0,0
126,9/14/2005,0,0,0
127,9/15/2005,0,0,0
128,9/16/2005,0,0,0
129,9/17/2005,0,0,0
130,9/18/2005,0,0,0
131,9/19/2005,0,0,0
132,9/20/2005,0,0,0
133,9/21/2005,0,0,0
134,9/22/2005,0,0,0
135,9/23/2005,0,0,0
136,9/24/2005,0,0,0
137,9/25/2005,0,0,0
138,9/26/2005,0,0,0
139,9/27/2005,0,0,0
140,9/28/2005,0,0,0
141,9/29/2005,0,0,0
142,9/30/2005,0,0,0
143,10/1/2005,0,0,0
144,10/2/2005,0,0,0
145,10/3/2005,0,0,0
146,10/4/2005,0,0,0
147,10/5/2005,0,0,0
148,10/6/2005,0,0,0
149,10/7/2005,1,0.01,0.2
